model_seed,method,source_index,scale,nominal_tangent_change,nominal_orthogonal_change,functional_tangent_change,functional_orthogonal_change,tangent_jacobian_sensitivity,orthogonal_jacobian_sensitivity,prediction_preserved,true_class_log_prob_change
1,r0_mlp,2675,-0.5,0.03712925314903259,0.01898491010069847,0.031328413635492325,0.011132068000733852,0.06772617995738983,0.04941728711128235,1,-0.002304255962371826
1,r0_mlp,3462,-0.5,0.016280867159366608,0.03931468725204468,0.0004497812478803098,0.041063178330659866,0.04769973084330559,0.12285391241312027,1,-0.00017312727868556976
1,r0_mlp,504,-0.5,0.033345237374305725,0.03098905272781849,0.0391971580684185,0.024588050320744514,0.05283176898956299,0.08656560629606247,1,-0.004354238510131836
1,r0_mlp,8812,-0.5,0.025708399713039398,0.03166970610618591,0.021150780841708183,0.03095703013241291,0.04258051514625549,0.09646423161029816,1,0.003043055534362793
1,r0_mlp,6991,-0.5,0.015688326209783554,0.03940434753894806,0.00017931347247213125,0.0406850129365921,0.04549465328454971,0.12311942130327225,1,0.0005035735666751862
1,r0_mlp,1346,-0.5,0.007382604293525219,0.025389812886714935,2.5324084163003135e-07,0.024820324033498764,0.0548526830971241,0.062774658203125,1,-0.0033226609230041504
1,r0_mlp,2526,-0.5,0.0159585140645504,0.044593214988708496,0.00011024172999896109,0.046819645911455154,0.056893493980169296,0.13748644292354584,1,0.009037375450134277
1,r0_mlp,3803,-0.5,0.01604415290057659,0.04446352645754814,0.00012965619680471718,0.04651658982038498,0.04946286603808403,0.13975654542446136,1,0.00029697269201278687
1,r0_mlp,1066,-0.5,0.01782618835568428,0.04751282557845116,0.0002168561186408624,0.05274098739027977,0.07598281651735306,0.1449119746685028,1,0.005172073841094971
1,r0_mlp,631,-0.5,0.007686583790928125,0.028178676962852478,2.847710049991292e-07,0.023278644308447838,0.053357549011707306,0.08451347053050995,1,-0.0019261837005615234
1,r0_mlp,277,-0.5,0.023278474807739258,0.02967808209359646,0.004359469749033451,0.022348076105117798,0.02823569066822529,0.08486837148666382,1,-0.0066212862730026245
1,r0_mlp,1440,-0.5,0.03293582797050476,0.01946507766842842,0.027900760993361473,0.012631171382963657,0.06262107193470001,0.06763745844364166,1,0.007828891277313232
1,r0_mlp,3583,-0.5,0.01154103223234415,0.04508361592888832,7.832624760339968e-06,0.051788002252578735,0.06530493497848511,0.13597124814987183,1,0.0037466883659362793
1,r0_mlp,9931,-0.5,0.030204670503735542,0.02471158094704151,0.03375625237822533,0.018822452053427696,0.0420176163315773,0.0687120109796524,1,-0.0037147775292396545
1,r0_mlp,2289,-0.5,0.012162702158093452,0.034283559769392014,5.138006144989049e-06,0.03132081404328346,0.03241335228085518,0.10318166017532349,1,-0.0026086270809173584
1,r0_mlp,8452,-0.5,0.023011542856693268,0.0186354648321867,0.016842637211084366,0.003565545193850994,0.02945721335709095,0.028084224089980125,1,0.0006069540977478027
1,r0_mlp,5933,-0.5,0.017697034403681755,0.04400837421417236,0.0002204987104050815,0.046099379658699036,0.06383446604013443,0.13543590903282166,1,-0.0007737278938293457
1,r0_mlp,7575,-0.5,0.022438017651438713,0.021530643105506897,0.0016800317680463195,0.016082745045423508,0.030650945380330086,0.04989687353372574,1,0.01128929853439331
1,r0_mlp,459,-0.5,0.007967832498252392,0.0327167846262455,1.608924776519416e-06,0.029003290459513664,0.019247641786932945,0.10672059655189514,1,0.00021857023239135742
1,r0_mlp,3316,-0.25,0.009697047993540764,0.017484983429312706,4.336999609222403e-06,0.006341791711747646,0.03820912539958954,0.10039591789245605,1,0.00641632080078125
1,r0_mlp,354,-0.25,0.023534294217824936,0.009004022926092148,0.0035971032921224833,0.0005531634669750929,0.11178948730230331,0.04669520631432533,1,-0.005911588668823242
1,r0_mlp,1021,-0.25,0.00705851661041379,0.012608871795237064,3.242099637645879e-07,0.00028597263735719025,0.06348524242639542,0.06371874362230301,1,-0.0009075403213500977
1,r0_mlp,9593,-0.25,0.009358848445117474,0.011966327205300331,4.91522541778977e-07,0.00010265049786539748,0.030941534787416458,0.06797465682029724,1,-0.0006730258464813232
1,r0_mlp,8963,-0.25,0.025608211755752563,0.013232274912297726,0.011703276075422764,0.0006248970166780055,0.1218787431716919,0.07301516085863113,1,-0.002833440899848938
1,r0_mlp,2629,-0.25,0.00982225127518177,0.02478608302772045,1.0849012141989078e-06,0.021327298134565353,0.06495243310928345,0.14255967736244202,1,-0.0036443769931793213
