method,angle,source_index,host,route_mass,ablation_impact
standard_anchor_no_geo,-60.0,2295,0,0.007991079241037369,0.0016767382621765137
standard_anchor_no_geo,-60.0,2678,0,0.03001941181719303,-0.03827255964279175
standard_anchor_no_geo,-60.0,8479,0,0.08513607829809189,-0.05205726623535156
standard_anchor_no_geo,-60.0,2621,0,0.026827028021216393,0.07540225982666016
standard_anchor_no_geo,-60.0,185,0,0.05127560719847679,0.012003690004348755
standard_anchor_no_geo,-60.0,2902,0,0.022263772785663605,-0.009976625442504883
standard_anchor_no_geo,-60.0,8518,0,0.03543221950531006,-0.026386260986328125
standard_anchor_no_geo,-60.0,5173,0,0.03681046888232231,0.06517887115478516
standard_anchor_no_geo,-60.0,1403,0,0.023648656904697418,-0.007615804672241211
standard_anchor_no_geo,-60.0,7275,0,0.027045540511608124,0.010926365852355957
standard_anchor_no_geo,-60.0,1899,0,0.03076256811618805,0.027198314666748047
standard_anchor_no_geo,-60.0,9485,0,0.011299015022814274,0.010977506637573242
standard_anchor_no_geo,-60.0,894,0,0.007589900400489569,-0.003435850143432617
standard_anchor_no_geo,-60.0,9533,0,0.032376620918512344,-0.006919145584106445
standard_anchor_no_geo,-60.0,7898,0,0.016771437600255013,-0.0016557276248931885
standard_anchor_no_geo,-60.0,7076,0,0.021360065788030624,-0.013878703117370605
standard_anchor_no_geo,-60.0,3914,0,0.04692639037966728,-0.008489251136779785
standard_anchor_no_geo,-60.0,6869,0,0.010427526198327541,0.013882160186767578
standard_anchor_no_geo,-60.0,6483,0,0.04097931459546089,0.01908397674560547
standard_anchor_no_geo,-60.0,738,0,0.011497244238853455,0.01886463165283203
standard_anchor_no_geo,-60.0,4636,0,0.04442744702100754,0.09931659698486328
standard_anchor_no_geo,-60.0,6054,0,0.0438697524368763,0.0894768238067627
standard_anchor_no_geo,-60.0,2011,0,0.02211642824113369,-0.010299742221832275
standard_anchor_no_geo,-60.0,1950,0,0.04645748436450958,0.04490542411804199
standard_anchor_no_geo,-60.0,8920,0,0.029732720926404,0.0014933347702026367
standard_anchor_no_geo,-60.0,8087,0,0.04417663812637329,-0.011897087097167969
standard_anchor_no_geo,-60.0,578,0,0.04119723662734032,-0.03619384765625
standard_anchor_no_geo,-60.0,4418,0,0.042113933712244034,0.12852561473846436
