model_seed,method,angle,host,mean_route_mass,host_specialization
4,r5_smooth_residual_continuity,30.0,2,0.17508026957511902,0.006805241107940674
4,r5_smooth_residual_continuity,30.0,3,0.2716224193572998,0.00014734268188476562
4,r5_smooth_residual_continuity,45.0,0,0.2630215883255005,0.0031354427337646484
4,r5_smooth_residual_continuity,45.0,1,0.2686215341091156,4.45246696472168e-05
4,r5_smooth_residual_continuity,45.0,2,0.19711044430732727,0.006805241107940674
4,r5_smooth_residual_continuity,45.0,3,0.27124643325805664,0.00014734268188476562
4,r5_smooth_residual_continuity,60.0,0,0.2388882339000702,0.0031354427337646484
4,r5_smooth_residual_continuity,60.0,1,0.267157644033432,4.45246696472168e-05
4,r5_smooth_residual_continuity,60.0,2,0.22512325644493103,0.006805241107940674
4,r5_smooth_residual_continuity,60.0,3,0.2688308656215668,0.00014734268188476562
4,r5_smooth_residual_continuity,75.0,0,0.22800669074058533,0.0031354427337646484
4,r5_smooth_residual_continuity,75.0,1,0.261549711227417,4.45246696472168e-05
4,r5_smooth_residual_continuity,75.0,2,0.242228701710701,0.006805241107940674
4,r5_smooth_residual_continuity,75.0,3,0.2682148814201355,0.00014734268188476562
